kernel,classic_cca,aqm,bdp,i,prague throughput,classic throughput,drops,classic,transition,scalable
5.15.72-56eae305c-prague-91,bbr2,FIFO,2,6,65313904.992129676,29696058.477762215,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,2,7,79267125.5541025,15650828.917105857,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,2,0,76651612.74781136,18289469.1011731,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,2,8,75214833.31164983,19738161.584574282,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,2,5,70265507.87418137,24720535.423788972,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,2,2,72142512.84307213,22848109.279317822,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,4,9,83821477.39035064,11071319.098467726,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,4,1,76649240.4760214,18302273.77979112,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,4,4,91602419.13808797,3212862.454728831,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,4,3,91009219.11194263,3807338.60865337,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,4,6,86230865.2165135,8644055.73815484,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,4,7,87071656.4501001,7771131.559090277,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,4,0,91707763.18029463,3108138.0561191468,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,4,8,87106149.15163097,7753666.5342656365,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,4,5,83775739.17655745,11109493.980323952,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,4,2,91304813.86845033,3509709.26120012,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,0.5,9,43734315.07401031,50269245.78163692,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,0.5,1,44379860.56630156,49323946.6654936,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,0.5,4,44676518.907493085,49288882.40968167,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,0.5,3,42717878.36781098,50946926.69566888,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,0.5,6,44467118.02202662,49516577.87140482,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,0.5,7,44432210.3505621,49272040.81126304,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,0.5,0,43156763.33979456,50652399.89307718,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,0.5,8,43504229.639976114,50405552.568761535,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,0.5,5,41198231.877053045,52991522.622067556,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,0.5,2,42265725.0952718,51543470.137322314,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,1,9,61852125.000524886,33092655.615857825,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,1,1,61765216.0855004,33127863.09763351,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,1,4,60747979.89029403,34190913.41159734,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,1,3,62317023.0825881,32617197.870984145,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,1,6,64089897.430216536,30787023.4357454,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,1,7,60396555.78436174,34592107.45040725,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,1,0,58634649.55142762,36375980.30360182,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,1,8,61782279.86112635,33162483.178581253,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,1,5,61983549.27055929,32931019.4651254,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,1,2,62352192.49052805,32547486.086574573,,,,
5.15.72-56eae305c-prague-91,bbr2,DualPI2,8,9,7059014.871940424,87250720.7747393,,,,
5.15.72-56eae305c-prague-91,bbr2,DualPI2,8,1,6726980.60850065,87659264.6294432,,,,
5.15.72-56eae305c-prague-91,bbr2,DualPI2,8,4,6709537.8947087955,87123908.41838035,,,,
5.15.72-56eae305c-prague-91,bbr2,DualPI2,8,3,7268668.717244175,86651704.72426456,,,,
5.15.72-56eae305c-prague-91,bbr2,DualPI2,8,6,6866806.0766972015,87431069.50944866,,,,
5.15.72-56eae305c-prague-91,bbr2,DualPI2,8,7,6796903.708040858,87088918.6766833,,,,
5.15.72-56eae305c-prague-91,bbr2,DualPI2,8,0,6989177.441603564,87250941.7452316,,,,
5.15.72-56eae305c-prague-91,bbr2,DualPI2,8,8,6971624.688075394,87111352.49282146,,,,
5.15.72-56eae305c-prague-91,bbr2,DualPI2,8,5,6849333.059432303,87298177.0299884,,,,
